;Tweets;Label;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
15;Gubernur Jawa Timur Khofifah Indar Parawansa memastikan bahwa pelaksanaan Analog Switch Off (ASO) atau penghentian… ;1;gubernur jawa timur khofifah indar parawansa memastikan bahwa pelaksanaan analog switch off allcaps aso allcaps atau penghentian;['gubernur', 'jawa', 'timur', 'khofifah', 'indar', 'parawansa', 'memastikan', 'bahwa', 'pelaksanaan', 'analog', 'switch', 'off', 'allcaps', 'aso', 'allcaps', 'atau', 'penghentian'];['gubernur', 'jawa', 'timur', 'khofifah', 'indar', 'parawansa', 'memastikan', 'bahwa', 'pelaksanaan', 'analog', 'switch', 'off', 'allcaps', 'aso', 'allcaps', 'atau', 'penghentian'];['gubernur', 'jawa', 'timur', 'khofifah', 'indar', 'parawansa', 'pelaksanaan', 'analog', 'switch', 'off', 'allcaps', 'aso', 'allcaps', 'penghentian'];gubernur jawa timur khofifah indar parawansa pelaksanaan analog switch off allcaps aso allcaps penghentian;gubernur jawa timur khofifah indar parawansa laksana analog switch off allcaps aso allcaps henti
16;Setiap hujan siaran tv digital tidak ada sinyal 😅😀😀😀;1;setiap hujan siaran tv digital tidak ada sinyal;['setiap', 'hujan', 'siaran', 'tv', 'digital', 'tidak', 'ada', 'sinyal'];['setiap', 'hujan', 'siaran', 'tv', 'digital', 'tidak', 'ada', 'sinyal'];['hujan', 'siaran', 'tv', 'digital', 'sinyal'];hujan siaran tv digital sinyal;hujan siar tv digital sinyal
17;Mulai 20 Desember 2022, siaran TV analog di wilayah Surabaya akan dihentikan dan dialihkan ke siaran TV digital. Si… ;1;mulai number desember number siaran tv analog di wilayah surabaya akan dihentikan dan dialihkan ke siaran tv digital si;['mulai', 'number', 'desember', 'number', 'siaran', 'tv', 'analog', 'di', 'wilayah', 'surabaya', 'akan', 'dihentikan', 'dan', 'dialihkan', 'ke', 'siaran', 'tv', 'digital', 'si'];['mulai', 'number', 'desember', 'number', 'siaran', 'tv', 'analog', 'di', 'wilayah', 'surabaya', 'akan', 'dihentikan', 'dan', 'dialihkan', 'ke', 'siaran', 'tv', 'digital', 'sih'];['number', 'desember', 'number', 'siaran', 'tv', 'analog', 'wilayah', 'surabaya', 'dihentikan', 'dialihkan', 'siaran', 'tv', 'digital', 'sih'];number desember number siaran tv analog wilayah surabaya dihentikan dialihkan siaran tv digital sih;number desember number siar tv analog wilayah surabaya henti alih siar tv digital sih
18;Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim.  KetuaDPDRI LaNyal…;1;ketua allcaps dpd ri allcaps terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari allcaps kpid allcaps jatim ketuadpdri lanyal;['ketua', 'allcaps', 'dpd', 'ri', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'dari', 'allcaps', 'kpid', 'allcaps', 'jatim', 'ketuadpdri', 'lanyal'];['ketua', 'allcaps', 'dpd', 'di', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'dari', 'allcaps', 'kpid', 'allcaps', 'jatim', 'ketuadpdri', 'lanyal'];['ketua', 'allcaps', 'dpd', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'allcaps', 'kpid', 'allcaps', 'jatim', 'ketuadpdri', 'lanyal'];ketua allcaps dpd allcaps terima aspirasi keterbatasan perangkat monitoring siaran tv digital allcaps kpid allcaps jatim ketuadpdri lanyal;ketua allcaps dpd allcaps terima aspirasi batas perangkat monitoring siar tv digital allcaps kpid allcaps jatim ketuadpdri lanyal
19;Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim  ;1;ketua allcaps dpd ri allcaps terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari allcaps kpid allcaps jatim;['ketua', 'allcaps', 'dpd', 'ri', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'dari', 'allcaps', 'kpid', 'allcaps', 'jatim'];['ketua', 'allcaps', 'dpd', 'di', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'dari', 'allcaps', 'kpid', 'allcaps', 'jatim'];['ketua', 'allcaps', 'dpd', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'allcaps', 'kpid', 'allcaps', 'jatim'];ketua allcaps dpd allcaps terima aspirasi keterbatasan perangkat monitoring siaran tv digital allcaps kpid allcaps jatim;ketua allcaps dpd allcaps terima aspirasi batas perangkat monitoring siar tv digital allcaps kpid allcaps jatim
20;Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim LaNyalla jawatimur…;1;ketua allcaps dpd ri allcaps terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari allcaps kpid allcaps jatim lanyalla jawatimur;['ketua', 'allcaps', 'dpd', 'ri', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'dari', 'allcaps', 'kpid', 'allcaps', 'jatim', 'lanyalla', 'jawatimur'];['ketua', 'allcaps', 'dpd', 'di', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'dari', 'allcaps', 'kpid', 'allcaps', 'jatim', 'lanyalla', 'jawatimur'];['ketua', 'allcaps', 'dpd', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'allcaps', 'kpid', 'allcaps', 'jatim', 'lanyalla', 'jawatimur'];ketua allcaps dpd allcaps terima aspirasi keterbatasan perangkat monitoring siaran tv digital allcaps kpid allcaps jatim lanyalla jawatimur;ketua allcaps dpd allcaps terima aspirasi batas perangkat monitoring siar tv digital allcaps kpid allcaps jatim lanyalla jawatimur
21;Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim LaNyalla ;1;ketua allcaps dpd ri allcaps terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari allcaps kpid allcaps jatim lanyalla;['ketua', 'allcaps', 'dpd', 'ri', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'dari', 'allcaps', 'kpid', 'allcaps', 'jatim', 'lanyalla'];['ketua', 'allcaps', 'dpd', 'di', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'dari', 'allcaps', 'kpid', 'allcaps', 'jatim', 'lanyalla'];['ketua', 'allcaps', 'dpd', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital', 'allcaps', 'kpid', 'allcaps', 'jatim', 'lanyalla'];ketua allcaps dpd allcaps terima aspirasi keterbatasan perangkat monitoring siaran tv digital allcaps kpid allcaps jatim lanyalla;ketua allcaps dpd allcaps terima aspirasi batas perangkat monitoring siar tv digital allcaps kpid allcaps jatim lanyalla
22; mohon info pak/ibu utk di selogiri siaran TV Digital apakah sudah terjangkau ?;1;mohon info pak ibu utk di selogiri siaran tv digital apakah sudah terjangkau;['mohon', 'info', 'pak', 'ibu', 'utk', 'di', 'selogiri', 'siaran', 'tv', 'digital', 'apakah', 'sudah', 'terjangkau'];['mohon', 'info', 'pak', 'ibu', 'untuk', 'di', 'selogiri', 'siaran', 'tv', 'digital', 'apakah', 'sudah', 'terjangkau'];['mohon', 'info', 'selogiri', 'siaran', 'tv', 'digital', 'terjangkau'];mohon info selogiri siaran tv digital terjangkau;mohon info selogiri siar tv digital jangkau
23;Ngapa ini Metro Tv hilang di siaran digital..bukan gua doang tetangga yg tvnya udah digital pada ilang metro tv,kem… ;0;ngapa ini metro tv hilang di siaran digital repeated bukan gua doang tetangga yg tvnya udah digital pada ilang metro tv kem;['ngapa', 'ini', 'metro', 'tv', 'hilang', 'di', 'siaran', 'digital', 'repeated', 'bukan', 'gua', 'doang', 'tetangga', 'yg', 'tvnya', 'udah', 'digital', 'pada', 'ilang', 'metro', 'tv', 'kem'];['ngapa', 'ini', 'metro', 'tv', 'hilang', 'di', 'siaran', 'digital', 'repeated', 'bukan', 'saya', 'saja', 'tetangga', 'yang', 'tvnya', 'sudah', 'digital', 'pada', 'ilang', 'metro', 'tv', 'kem'];['ngapa', 'metro', 'tv', 'hilang', 'siaran', 'digital', 'repeated', 'tetangga', 'tvnya', 'digital', 'ilang', 'metro', 'tv', 'kem'];ngapa metro tv hilang siaran digital repeated tetangga tvnya digital ilang metro tv kem;ngapa metro tv hilang siar digital repeated tetangga tvnya digital ilang metro tv kem
24;Beli Set Top Box atau alat penerima siaran TV DIGITAL (DVB-T2 di Virgo ♍ shop seharga Rp800.000 diskon dari Rp1.000… ;2;beli set top box atau alat penerima siaran allcaps tv digital allcaps allcaps dvb allcaps t2 di virgo shop seharga rp800 number diskon dari rp1 number;['beli', 'set', 'top', 'box', 'atau', 'alat', 'penerima', 'siaran', 'allcaps', 'tv', 'digital', 'allcaps', 'allcaps', 'dvb', 'allcaps', 't2', 'di', 'virgo', 'shop', 'seharga', 'rp800', 'number', 'diskon', 'dari', 'rp1', 'number'];['beli', 'set', 'top', 'box', 'atau', 'alat', 'penerima', 'siaran', 'allcaps', 'tv', 'digital', 'allcaps', 'allcaps', 'dvb', 'allcaps', 't2', 'di', 'virgo', 'shop', 'seharga', 'rp800', 'number', 'diskon', 'dari', 'rp1', 'number'];['beli', 'set', 'top', 'box', 'alat', 'penerima', 'siaran', 'allcaps', 'tv', 'digital', 'allcaps', 'allcaps', 'dvb', 'allcaps', 't2', 'virgo', 'shop', 'seharga', 'rp800', 'number', 'diskon', 'rp1', 'number'];beli set top box alat penerima siaran allcaps tv digital allcaps allcaps dvb allcaps t2 virgo shop seharga rp800 number diskon rp1 number;beli set top box alat terima siar allcaps tv digital allcaps allcaps dvb allcaps t2 virgo shop harga rp800 number diskon rp1 number
25;Kapan Suntik Mati TV Analog Selesai? Ini Kata Menkominfo  Pemerintah melakukan ASO dengan memperhatikan ketersediaa… ;0;kapan suntik mati tv analog selesai ini kata menkominfo pemerintah melakukan allcaps aso allcaps dengan memperhatikan ketersediaa;['kapan', 'suntik', 'mati', 'tv', 'analog', 'selesai', 'ini', 'kata', 'menkominfo', 'pemerintah', 'melakukan', 'allcaps', 'aso', 'allcaps', 'dengan', 'memperhatikan', 'ketersediaa'];['kapan', 'suntik', 'mati', 'tv', 'analog', 'selesai', 'ini', 'kata', 'menkominfo', 'pemerintah', 'melakukan', 'allcaps', 'aso', 'allcaps', 'dengan', 'memperhatikan', 'ketersediaa'];['suntik', 'mati', 'tv', 'analog', 'selesai', 'menkominfo', 'pemerintah', 'allcaps', 'aso', 'allcaps', 'memperhatikan', 'ketersediaa'];suntik mati tv analog selesai menkominfo pemerintah allcaps aso allcaps memperhatikan ketersediaa;suntik mati tv analog selesai menkominfo perintah allcaps aso allcaps perhati ketersediaa
26;     knp smua siaran digital kalian Renyek smua d Cikar… ;1;knp smua siaran digital kalian renyek smua cikar;['knp', 'smua', 'siaran', 'digital', 'kalian', 'renyek', 'smua', 'cikar'];['mengapa', 'smua', 'siaran', 'digital', 'kalian', 'renyek', 'smua', 'cikar'];['smua', 'siaran', 'digital', 'renyek', 'smua', 'cikar'];smua siaran digital renyek smua cikar;smua siar digital renyek smua cikar
27;Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital ;1;ketua allcaps dpd ri allcaps terima aspirasi keterbatasan perangkat monitoring siaran tv digital;['ketua', 'allcaps', 'dpd', 'ri', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital'];['ketua', 'allcaps', 'dpd', 'di', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital'];['ketua', 'allcaps', 'dpd', 'allcaps', 'terima', 'aspirasi', 'keterbatasan', 'perangkat', 'monitoring', 'siaran', 'tv', 'digital'];ketua allcaps dpd allcaps terima aspirasi keterbatasan perangkat monitoring siaran tv digital;ketua allcaps dpd allcaps terima aspirasi batas perangkat monitoring siar tv digital
28;📺💫 Habis Siaran Analog, Terbitlah Siaran Digital  Siaran TVAnalog akan dimatikan dan diganti ke TV Digital atau Analog…;1;habis siaran analog terbitlah siaran digital siaran tvanalog akan dimatikan dan diganti ke tv digital atau analog;['habis', 'siaran', 'analog', 'terbitlah', 'siaran', 'digital', 'siaran', 'tvanalog', 'akan', 'dimatikan', 'dan', 'diganti', 'ke', 'tv', 'digital', 'atau', 'analog'];['habis', 'siaran', 'analog', 'terbitlah', 'siaran', 'digital', 'siaran', 'tvanalog', 'akan', 'dimatikan', 'dan', 'diganti', 'ke', 'tv', 'digital', 'atau', 'analog'];['habis', 'siaran', 'analog', 'terbitlah', 'siaran', 'digital', 'siaran', 'tvanalog', 'dimatikan', 'diganti', 'tv', 'digital', 'analog'];habis siaran analog terbitlah siaran digital siaran tvanalog dimatikan diganti tv digital analog;habis siar analog terbit siar digital siar tvanalog mati ganti tv digital analog
29;ASO terus dilakukan,  Hingga seluruh wilayah Indonesia Ter-cover siaran TV digital     ;1;allcaps aso allcaps terus dilakukan hingga seluruh wilayah indonesia ter cover siaran tv digital;['allcaps', 'aso', 'allcaps', 'terus', 'dilakukan', 'hingga', 'seluruh', 'wilayah', 'indonesia', 'ter', 'cover', 'siaran', 'tv', 'digital'];['allcaps', 'aso', 'allcaps', 'terus', 'dilakukan', 'hingga', 'seluruh', 'wilayah', 'indonesia', 'ter', 'cover', 'siaran', 'tv', 'digital'];['allcaps', 'aso', 'allcaps', 'wilayah', 'indonesia', 'ter', 'cover', 'siaran', 'tv', 'digital'];allcaps aso allcaps wilayah indonesia ter cover siaran tv digital;allcaps aso allcaps wilayah indonesia ter cover siar tv digital
30;Hallo Penonton Setia tvOne!  Isi Survey TV Digital tvOne Ini Yuk!   Agar Siaran Digital tvOn… ;2;hallo penonton setia tvone isi survey tv digital tvone ini yuk agar siaran digital tvon;['hallo', 'penonton', 'setia', 'tvone', 'isi', 'survey', 'tv', 'digital', 'tvone', 'ini', 'yuk', 'agar', 'siaran', 'digital', 'tvon'];['hallo', 'penonton', 'setia', 'tvone', 'isi', 'survey', 'tv', 'digital', 'tvone', 'ini', 'ayo', 'agar', 'siaran', 'digital', 'tvon'];['hallo', 'penonton', 'setia', 'tvone', 'isi', 'survey', 'tv', 'digital', 'tvone', 'ayo', 'siaran', 'digital', 'tvon'];hallo penonton setia tvone isi survey tv digital tvone ayo siaran digital tvon;hallo tonton setia tvone isi survey tv digital tvone ayo siar digital tvon
31;📺💫 Habis Siaran Analog, Terbitlah Siaran Digital  Siaran TVAnalog akan dimatikan dan diganti ke TV Digital atau An… ;1;habis siaran analog terbitlah siaran digital siaran tvanalog akan dimatikan dan diganti ke tv digital atau an;['habis', 'siaran', 'analog', 'terbitlah', 'siaran', 'digital', 'siaran', 'tvanalog', 'akan', 'dimatikan', 'dan', 'diganti', 'ke', 'tv', 'digital', 'atau', 'an'];['habis', 'siaran', 'analog', 'terbitlah', 'siaran', 'digital', 'siaran', 'tvanalog', 'akan', 'dimatikan', 'dan', 'diganti', 'ke', 'tv', 'digital', 'atau', 'an'];['habis', 'siaran', 'analog', 'terbitlah', 'siaran', 'digital', 'siaran', 'tvanalog', 'dimatikan', 'diganti', 'tv', 'digital', 'an'];habis siaran analog terbitlah siaran digital siaran tvanalog dimatikan diganti tv digital an;habis siar analog terbit siar digital siar tvanalog mati ganti tv digital an
